,Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
0,AAL,15.0,666,-4.01,0.044444444444444446,-1.07,0.037037037037037035,0.2801,0.022222222222222223,-21.24362561277817,0.014814814814814814,0.9797456725642086,0.059259259259259255,0.035555555555555556
1,AIG,52.07,192,4.45,0.08148148148148149,0.7414,0.05185185185185185,0.7589,0.1037037037037037,2.7059577720590102,0.044444444444444446,0.7259123617069255,0.029629629629629627,0.06222222222222222
2,COF,111.28,89,4.26,0.07407407407407407,0.786,0.059259259259259255,1.29,0.1925925925925926,2.98146818429966,0.05185185185185185,1.2835665904285491,0.08888888888888889,0.09333333333333334
3,APA,33.02,302,4.91,0.08888888888888889,-610.41,0.007407407407407407,1.3,0.2037037037037037,3.331932524565497,0.06666666666666667,1.823330931870894,0.1111111111111111,0.09555555555555555
4,C,50.05,199,6.03,0.10740740740740741,0.573,0.044444444444444446,1.26,0.1851851851851852,3.8094373696144426,0.07407407407407407,1.2252460228441118,0.08148148148148149,0.09851851851851852
5,CAH,56.38,177,-16.68,0.037037037037037035,-21.93,0.014814814814814814,0.089,0.007407407407407407,8.826925714822728,0.2518518518518519,2.8175326965352707,0.2,0.10222222222222223
6,ALL,126.5,79,10.53,0.21481481481481482,1.67,0.1851851851851852,0.6927,0.08888888888888889,3.1755098773445902,0.059259259259259255,0.6599131855840649,0.014814814814814814,0.11259259259259259
7,AIZ,167.74,59,7.24,0.13333333333333333,1.9,0.24444444444444444,0.921,0.13333333333333333,2.449499127060612,0.037037037037037035,0.8664478370463442,0.05185185185185185,0.12
8,BEN,25.84,386,6.9,0.12592592592592594,1.12,0.08888888888888889,1.47,0.23703703703703702,4.6055814788181655,0.1037037037037037,1.1954796728496453,0.07407407407407407,0.1259259259259259
9,DHI,74.09,N/A,5.48,0.0962962962962963,1.55,0.17407407407407408,0.8805,0.11851851851851851,4.403550879524896,0.0962962962962963,3.162612484514881,0.21481481481481482,0.14
